gene	KOG_class
LOC101851536	RNA processing and modification 
LOC101852513	NA
LOC101852732	NA
LOC101852963	NA
LOC101853353	Energy production and conversion 
LOC101854209	Transcription 
LOC101856934	Signal transduction mechanisms 
LOC101857683	Lipid transport and metabolism 
LOC101858308	Cytoskeleton 
LOC101859442	Cytoskeleton 
LOC101860053	NA
LOC101860450	Transcription 
LOC101860698	Translation, ribosomal structure and biogenesis 
LOC101861545	NA
LOC101861993	NA
LOC101862687	Signal transduction mechanisms 
LOC101862687	Transcription 
LOC101862687	Cell cycle control, cell division, chromosome partitioning 
LOC101863623	NA
LOC101863853	NA
LOC101864567	Transcription 
LOC101845047	Energy production and conversion 
LOC101845279	NA
LOC101845504	Transcription 
LOC101845504	Chromatin structure and dynamics 
LOC101845729	NA
LOC101845961	NA
LOC101846844	NA
LOC101847380	NA
LOC101847846	Nuclear structure 
LOC101848242	Transcription 
LOC101848922	Posttranslational modification, protein turnover, chaperones 
LOC101851153	Signal transduction mechanisms 
LOC101851373	NA
LOC101852655	Posttranslational modification, protein turnover, chaperones 
LOC101853586	Posttranslational modification, protein turnover, chaperones 
LOC101853977	Posttranslational modification, protein turnover, chaperones 
LOC101855298	Signal transduction mechanisms 
LOC101855831	RNA processing and modification 
LOC101856058	RNA processing and modification 
LOC101856058	Cell cycle control, cell division, chromosome partitioning 
LOC101857284	Signal transduction mechanisms 
LOC101858974	Energy production and conversion 
LOC101859443	Carbohydrate transport and metabolism 
LOC101863062	Lipid transport and metabolism 
LOC101863779	NA
LOC101864718	Energy production and conversion 
LOC101845360	NA
LOC101846996	Posttranslational modification, protein turnover, chaperones 
LOC101847224	Posttranslational modification, protein turnover, chaperones 
LOC101847693	Posttranslational modification, protein turnover, chaperones 
LOC101848153	Signal transduction mechanisms 
LOC101848849	NA
LOC101849089	Intracellular trafficking, secretion, and vesicular transport 
LOC101849327	Carbohydrate transport and metabolism 
LOC101850287	Signal transduction mechanisms 
LOC101850517	Carbohydrate transport and metabolism 
LOC101850914	Posttranslational modification, protein turnover, chaperones 
LOC101851771	Cytoskeleton 
LOC101851771	Cell cycle control, cell division, chromosome partitioning 
LOC101853503	Defense mechanisms 
LOC101853503	Signal transduction mechanisms 
LOC101853978	Replication, recombination and repair 
LOC101856221	Carbohydrate transport and metabolism 
LOC101857447	Signal transduction mechanisms 
LOC101857684	Carbohydrate transport and metabolism 
LOC101857909	Intracellular trafficking, secretion, and vesicular transport 
LOC101858310	Signal transduction mechanisms 
LOC101858526	Translation, ribosomal structure and biogenesis 
LOC101859135	Transcription 
LOC101860451	NA
LOC101862537	Signal transduction mechanisms 
LOC101862537	Intracellular trafficking, secretion, and vesicular transport 
LOC101864719	Intracellular trafficking, secretion, and vesicular transport 
LOC101845505	NA
LOC101845730	Lipid transport and metabolism 
LOC101845962	Secondary metabolites biosynthesis, transport and catabolism 
LOC101846171	Lipid transport and metabolism 
LOC101846386	Posttranslational modification, protein turnover, chaperones 
LOC101846774	NA
LOC101847153	Cell wall/membrane/envelope biogenesis 
LOC101847769	NA
LOC101847999	Intracellular trafficking, secretion, and vesicular transport 
LOC101847999	Cytoskeleton 
LOC101847999	Signal transduction mechanisms 
LOC101848243	Signal transduction mechanisms 
LOC101848697	Inorganic ion transport and metabolism 
LOC101849414	NA
LOC101849800	Cell cycle control, cell division, chromosome partitioning 
LOC101850043	Chromatin structure and dynamics 
LOC101850288	Posttranslational modification, protein turnover, chaperones 
LOC101850759	NA
LOC101851155	Chromatin structure and dynamics 
LOC101852964	Cell cycle control, cell division, chromosome partitioning 
LOC101853823	Carbohydrate transport and metabolism 
LOC101854292	NA
LOC101854534	Carbohydrate transport and metabolism 
LOC101854985	Chromatin structure and dynamics 
LOC101855448	NA
LOC101856136	Posttranslational modification, protein turnover, chaperones 
LOC101856385	NA
LOC101856762	Energy production and conversion 
LOC101856989	NA
LOC101857984	Replication, recombination and repair 
LOC101857984	Transcription 
LOC101857984	Signal transduction mechanisms 
LOC101858221	Signal transduction mechanisms 
LOC101859136	NA
LOC101860054	NA
LOC101860286	Transcription 
LOC101860700	RNA processing and modification 
LOC101862905	Defense mechanisms 
LOC101864342	NA
LOC101864568	Intracellular trafficking, secretion, and vesicular transport 
LOC101845886	Signal transduction mechanisms 
LOC101845886	Posttranslational modification, protein turnover, chaperones 
LOC101846102	Translation, ribosomal structure and biogenesis 
LOC101848000	NA
LOC101849415	Extracellular structures 
LOC101849654	NA
LOC101850122	RNA processing and modification 
LOC101850852	Transcription 
LOC101851229	Transcription 
LOC101851229	Cell cycle control, cell division, chromosome partitioning 
LOC101851229	Signal transduction mechanisms 
LOC101852734	Signal transduction mechanisms 
LOC101854054	NA
LOC101854535	Posttranslational modification, protein turnover, chaperones 
LOC101854758	NA
LOC101855680	Chromatin structure and dynamics 
LOC101856059	NA
LOC101856698	Signal transduction mechanisms 
LOC101860132	Intracellular trafficking, secretion, and vesicular transport 
LOC101862076	Transcription 
LOC101862616	NA
LOC101863387	NA
LOC101863625	NA
LOC101863854	NA
LOC101864569	Signal transduction mechanisms 
LOC101845507	Cell cycle control, cell division, chromosome partitioning 
LOC101846467	Lipid transport and metabolism 
LOC101846924	NA
LOC101847293	Posttranslational modification, protein turnover, chaperones 
LOC101847771	NA
LOC101848390	Energy production and conversion 
LOC101850607	NA
LOC101850853	NA
LOC101851081	Chromatin structure and dynamics 
LOC101851081	RNA processing and modification 
LOC101851303	NA
LOC101851537	Transcription 
LOC101851772	NA
LOC101851989	Defense mechanisms 
LOC101851989	Cell wall/membrane/envelope biogenesis 
LOC101853039	Signal transduction mechanisms 
LOC101853416	Translation, ribosomal structure and biogenesis 
LOC101853650	NA
LOC101855604	Cell wall/membrane/envelope biogenesis 
LOC101856222	NA
LOC101857607	
LOC101858072	NA
LOC101859366	NA
LOC101859602	Amino acid transport and metabolism 
LOC101859980	Transcription 
LOC101860208	Translation, ribosomal structure and biogenesis 
LOC101861083	Transcription 
LOC101861083	Replication, recombination and repair 
LOC101862906	Posttranslational modification, protein turnover, chaperones 
LOC101863626	Transcription 
LOC101845362	Transcription 
LOC101846845	NA
LOC101847071	Posttranslational modification, protein turnover, chaperones 
LOC101847537	NA
LOC101847772	Transcription 
LOC101849416	RNA processing and modification 
LOC101850289	NA
LOC101850680	Posttranslational modification, protein turnover, chaperones 
LOC101850915	NA
LOC101852214	Posttranslational modification, protein turnover, chaperones 
LOC101853129	NA
LOC101853356	NA
LOC101854678	Coenzyme transport and metabolism 
LOC101855061	Transcription 
LOC101855832	Cytoskeleton 
LOC101856060	Posttranslational modification, protein turnover, chaperones 
LOC101858366	Secondary metabolites biosynthesis, transport and catabolism 
LOC101858746	NA
LOC101859137	NA
LOC101859603	Replication, recombination and repair 
LOC101859822	RNA processing and modification 
LOC101860055	NA
LOC101860287	Extracellular structures 
LOC101862538	Transcription 
LOC101864182	Nucleotide transport and metabolism 
LOC101845203	NA
LOC101847619	Intracellular trafficking, secretion, and vesicular transport 
LOC101847847	NA
LOC101848246	Signal transduction mechanisms 
LOC101848246	Defense mechanisms 
LOC101849417	Nucleotide transport and metabolism 
LOC101849801	Carbohydrate transport and metabolism 
LOC101850290	Intracellular trafficking, secretion, and vesicular transport 
LOC101851900	Energy production and conversion 
LOC101852127	Secondary metabolites biosynthesis, transport and catabolism 
LOC101853267	Signal transduction mechanisms 
LOC101853980	Replication, recombination and repair 
LOC101854536	Posttranslational modification, protein turnover, chaperones 
LOC101858900	Translation, ribosomal structure and biogenesis 
LOC101861005	Amino acid transport and metabolism 
LOC101862149	RNA processing and modification 
LOC101862381	NA
LOC101862617	NA
LOC101862839	Intracellular trafficking, secretion, and vesicular transport 
LOC101864264	Transcription 
LOC101846039	RNA processing and modification 
LOC101846387	NA
LOC101846612	Posttranslational modification, protein turnover, chaperones 
LOC101846612	Cell cycle control, cell division, chromosome partitioning 
LOC101846999	Signal transduction mechanisms 
LOC101848556	Translation, ribosomal structure and biogenesis 
LOC101850211	Signal transduction mechanisms 
LOC101852284	Signal transduction mechanisms 
LOC101853417	Transcription 
LOC101853891	Posttranslational modification, protein turnover, chaperones 
LOC101854124	Replication, recombination and repair 
LOC101854369	NA
LOC101854760	Coenzyme transport and metabolism 
LOC101854987	Transcription 
LOC101855222	Signal transduction mechanisms 
LOC101855451	Secondary metabolites biosynthesis, transport and catabolism 
LOC101855909	Secondary metabolites biosynthesis, transport and catabolism 
LOC101856138	Secondary metabolites biosynthesis, transport and catabolism 
LOC101856847	Cytoskeleton 
LOC101857068	Lipid transport and metabolism 
LOC101857287	Posttranslational modification, protein turnover, chaperones 
LOC101858367	NA
LOC101858814	Carbohydrate transport and metabolism 
LOC101861623	Transcription 
LOC101861853	Carbohydrate transport and metabolism 
LOC101862309	Energy production and conversion 
LOC101864423	NA
LOC101845584	Signal transduction mechanisms 
LOC101845584	Transcription 
LOC101845584	Lipid transport and metabolism 
LOC101846776	Inorganic ion transport and metabolism 
LOC101846776	Cell wall/membrane/envelope biogenesis 
LOC101846776	Signal transduction mechanisms 
LOC101847621	Transcription 
LOC101849418	Energy production and conversion 
LOC101849655	RNA processing and modification 
LOC101849891	Transcription 
LOC101850291	NA
LOC101851452	Replication, recombination and repair 
LOC101851839	Translation, ribosomal structure and biogenesis 
LOC101852058	Energy production and conversion 
LOC101854294	NA
LOC101855063	Signal transduction mechanisms 
LOC101855063	Transcription 
LOC101855063	Replication, recombination and repair 
LOC101855063	Cell cycle control, cell division, chromosome partitioning 
LOC101855299	NA
LOC101856388	NA
LOC101856615	NA
LOC101857288	Lipid transport and metabolism 
LOC101857685	Translation, ribosomal structure and biogenesis 
LOC101859052	Lipid transport and metabolism 
LOC101859445	Intracellular trafficking, secretion, and vesicular transport 
LOC101862310	NA
LOC101846040	NA
LOC101846469	Lipid transport and metabolism 
LOC101846697	Signal transduction mechanisms 
LOC101846697	Intracellular trafficking, secretion, and vesicular transport 
LOC101846697	Posttranslational modification, protein turnover, chaperones 
LOC101846926	NA
LOC101847295	Posttranslational modification, protein turnover, chaperones 
LOC101848004	Lipid transport and metabolism 
LOC101848248	NA
LOC101849802	NA
LOC101850292	Carbohydrate transport and metabolism 
LOC101850520	Intracellular trafficking, secretion, and vesicular transport 
LOC101852736	Signal transduction mechanisms 
LOC101853418	Nucleotide transport and metabolism 
LOC101854055	NA
LOC101855684	Lipid transport and metabolism 
LOC101856061	Replication, recombination and repair 
LOC101857214	Defense mechanisms 
LOC101857448	Inorganic ion transport and metabolism 
LOC101857840	Carbohydrate transport and metabolism 
LOC101858223	NA
LOC101859604	NA
LOC101860535	NA
LOC101860775	Signal transduction mechanisms 
LOC101861007	Posttranslational modification, protein turnover, chaperones 
LOC101861400	Amino acid transport and metabolism 
LOC101862760	Translation, ribosomal structure and biogenesis 
LOC101863219	NA
LOC101863938	Transcription 
LOC101845586	Energy production and conversion 
LOC101845811	Intracellular trafficking, secretion, and vesicular transport 
LOC101845811	Chromatin structure and dynamics 
LOC101845811	Replication, recombination and repair 
LOC101845811	Cell cycle control, cell division, chromosome partitioning 
LOC101845811	Signal transduction mechanisms 
LOC101847002	Transcription 
LOC101847695	Posttranslational modification, protein turnover, chaperones 
LOC101848155	Lipid transport and metabolism 
LOC101848155	Signal transduction mechanisms 
LOC101848558	Carbohydrate transport and metabolism 
LOC101851305	Inorganic ion transport and metabolism 
LOC101851539	NA
LOC101851901	NA
LOC101852129	Cell wall/membrane/envelope biogenesis 
LOC101852738	NA
LOC101853130	NA
LOC101853357	NA
LOC101853589	NA
LOC101853825	RNA processing and modification 
LOC101854056	NA
LOC101854537	NA
LOC101856225	Posttranslational modification, protein turnover, chaperones 
LOC101856616	Carbohydrate transport and metabolism 
LOC101857070	Inorganic ion transport and metabolism 
LOC101858977	Carbohydrate transport and metabolism 
LOC101861167	
LOC101861550	Replication, recombination and repair 
LOC101863629	NA
LOC101863856	NA
LOC101864106	NA
LOC101864345	Intracellular trafficking, secretion, and vesicular transport 
LOC101844960	Signal transduction mechanisms 
LOC101845734	Lipid transport and metabolism 
LOC101845734	Secondary metabolites biosynthesis, transport and catabolism 
LOC101845965	Inorganic ion transport and metabolism 
LOC101847297	Signal transduction mechanisms 
LOC101848703	Secondary metabolites biosynthesis, transport and catabolism 
LOC101849420	NA
LOC101849804	Chromatin structure and dynamics 
LOC101850214	Translation, ribosomal structure and biogenesis 
LOC101850918	Carbohydrate transport and metabolism 
LOC101851453	Translation, ribosomal structure and biogenesis 
LOC101852059	NA
LOC101853202	NA
LOC101853420	NA
LOC101854609	Coenzyme transport and metabolism 
LOC101854835	NA
LOC101855534	Transcription 
LOC101855986	Signal transduction mechanisms 
LOC101856226	Secondary metabolites biosynthesis, transport and catabolism 
LOC101856617	NA
LOC101856850	Secondary metabolites biosynthesis, transport and catabolism 
LOC101857987	
LOC101858224	Cell cycle control, cell division, chromosome partitioning 
LOC101858450	NA
LOC101858751	RNA processing and modification 
LOC101859208	NA
LOC101859676	RNA processing and modification 
LOC101860134	Carbohydrate transport and metabolism 
LOC101860134	Amino acid transport and metabolism 
LOC101860376	Chromatin structure and dynamics 
LOC101861084	NA
LOC101861777	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863148	NA
LOC101863393	NA
LOC101863783	Energy production and conversion 
LOC101864032	NA
LOC101845282	Signal transduction mechanisms 
LOC101845282	Cytoskeleton 
LOC101845510	NA
LOC101845735	NA
LOC101846391	NA
LOC101846615	NA
LOC101847074	Signal transduction mechanisms 
LOC101847298	NA
LOC101847777	Cell cycle control, cell division, chromosome partitioning 
LOC101848393	Cell cycle control, cell division, chromosome partitioning 
LOC101848623	Intracellular trafficking, secretion, and vesicular transport 
LOC101849329	Transcription 
LOC101849972	NA
LOC101850375	Cell wall/membrane/envelope biogenesis 
LOC101852131	NA
LOC101852366	Replication, recombination and repair 
LOC101853270	Secondary metabolites biosynthesis, transport and catabolism 
LOC101853506	Intracellular trafficking, secretion, and vesicular transport 
LOC101853897	Signal transduction mechanisms 
LOC101854296	RNA processing and modification 
LOC101857072	Replication, recombination and repair 
LOC101857072	Transcription 
LOC101857072	Signal transduction mechanisms 
LOC101857686	NA
LOC101858675	Inorganic ion transport and metabolism 
LOC101858675	Signal transduction mechanisms 
LOC101858675	Amino acid transport and metabolism 
LOC101859605	NA
LOC101859825	Posttranslational modification, protein turnover, chaperones 
LOC101862311	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863470	Transcription 
LOC101863470	Replication, recombination and repair 
LOC101863470	Signal transduction mechanisms 
LOC101864108	NA
LOC101864491	Transcription 
LOC101845369	Posttranslational modification, protein turnover, chaperones 
LOC101847542	NA
LOC101849330	NA
LOC101849570	Posttranslational modification, protein turnover, chaperones 
LOC101849805	Posttranslational modification, protein turnover, chaperones 
LOC101850046	Posttranslational modification, protein turnover, chaperones 
LOC101850293	NA
LOC101850521	NA
LOC101853132	Signal transduction mechanisms 
LOC101853507	NA
LOC101854454	Secondary metabolites biosynthesis, transport and catabolism 
LOC101855383	Secondary metabolites biosynthesis, transport and catabolism 
LOC101855833	Secondary metabolites biosynthesis, transport and catabolism 
LOC101857449	Transcription 
LOC101857913	Transcription 
LOC101861247	NA
LOC101862151	Inorganic ion transport and metabolism 
LOC101862539	Carbohydrate transport and metabolism 
LOC101864658	Intracellular trafficking, secretion, and vesicular transport 
LOC101845434	Translation, ribosomal structure and biogenesis 
LOC101846929	Lipid transport and metabolism 
LOC101847849	Intracellular trafficking, secretion, and vesicular transport 
LOC101848930	
LOC101849659	Transcription 
LOC101850127	Posttranslational modification, protein turnover, chaperones 
LOC101850377	Lipid transport and metabolism 
LOC101850377	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851542	Transcription 
LOC101853359	Signal transduction mechanisms 
LOC101854910	NA
LOC101855384	Signal transduction mechanisms 
LOC101856063	Signal transduction mechanisms 
LOC101856063	Inorganic ion transport and metabolism 
LOC101856854	Energy production and conversion 
LOC101857528	Transcription 
LOC101859055	Cytoskeleton 
LOC101859286	Posttranslational modification, protein turnover, chaperones 
LOC101859608	Carbohydrate transport and metabolism 
LOC101860777	Signal transduction mechanisms 
LOC101861011	NA
LOC101862761	NA
LOC101862984	NA
LOC101863221	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863471	Secondary metabolites biosynthesis, transport and catabolism 
LOC101863940	Transcription 
LOC101864572	NA
LOC101845051	Translation, ribosomal structure and biogenesis 
LOC101845283	NA
LOC101845511	NA
LOC101847389	Posttranslational modification, protein turnover, chaperones 
LOC101847918	Transcription 
LOC101848625	Posttranslational modification, protein turnover, chaperones 
LOC101849093	Carbohydrate transport and metabolism 
LOC101849331	NA
LOC101849807	RNA processing and modification 
LOC101850294	Cell wall/membrane/envelope biogenesis 
LOC101851088	Signal transduction mechanisms 
LOC101851544	Coenzyme transport and metabolism 
LOC101853044	Cytoskeleton 
LOC101853271	Signal transduction mechanisms 
LOC101853983	Intracellular trafficking, secretion, and vesicular transport 
LOC101855067	Signal transduction mechanisms 
LOC101856768	Energy production and conversion 
LOC101857689	Extracellular structures 
LOC101857915	Intracellular trafficking, secretion, and vesicular transport 
LOC101860859	Transcription 
LOC101861086	Translation, ribosomal structure and biogenesis 
LOC101861329	
LOC101862462	Amino acid transport and metabolism 
LOC101862695	Transcription 
LOC101862913	Posttranslational modification, protein turnover, chaperones 
LOC101863151	Nucleotide transport and metabolism 
LOC101863706	NA
LOC101864348	Signal transduction mechanisms 
LOC101845284	Cell cycle control, cell division, chromosome partitioning 
LOC101846105	NA
LOC101846701	Lipid transport and metabolism 
LOC101848855	Secondary metabolites biosynthesis, transport and catabolism 
LOC101849095	Replication, recombination and repair 
LOC101850049	Translation, ribosomal structure and biogenesis 
LOC101850614	Replication, recombination and repair 
LOC101853134	Signal transduction mechanisms 
LOC101854541	Signal transduction mechanisms 
LOC101854765	NA
LOC101856302	Transcription 
LOC101856992	Transcription 
LOC101857690	Cytoskeleton 
LOC101858373	Transcription 
LOC101859212	Cytoskeleton 
LOC101859452	NA
LOC101859828	Extracellular structures 
LOC101859828	Cell wall/membrane/envelope biogenesis 
LOC101861249	NA
LOC101861627	Amino acid transport and metabolism 
LOC101862001	Translation, ribosomal structure and biogenesis 
LOC101862229	NA
LOC101863152	Replication, recombination and repair 
LOC101863152	Signal transduction mechanisms 
LOC101863152	Transcription 
LOC101863786	Signal transduction mechanisms 
LOC101864269	Intracellular trafficking, secretion, and vesicular transport 
LOC101844964	Signal transduction mechanisms 
LOC101847006	Carbohydrate transport and metabolism 
LOC101847006	Amino acid transport and metabolism 
LOC101847231	NA
LOC101847780	NA
LOC101848856	RNA processing and modification 
LOC101849096	Signal transduction mechanisms 
LOC101849810	NA
LOC101850765	NA
LOC101851617	NA
LOC101852135	NA
LOC101853272	Secondary metabolites biosynthesis, transport and catabolism 
LOC101854912	RNA processing and modification 
LOC101855153	NA
LOC101856622	NA
LOC101857216	Cell motility 
LOC101861780	Inorganic ion transport and metabolism 
LOC101862621	Signal transduction mechanisms 
LOC101864036	Chromatin structure and dynamics 
LOC101864036	Cell cycle control, cell division, chromosome partitioning 
LOC101846850	Energy production and conversion 
LOC101848157	Replication, recombination and repair 
LOC101851993	NA
LOC101852891	RNA processing and modification 
LOC101854914	Inorganic ion transport and metabolism 
LOC101855155	NA
LOC101855761	Intracellular trafficking, secretion, and vesicular transport 
LOC101857613	Carbohydrate transport and metabolism 
LOC101858317	Posttranslational modification, protein turnover, chaperones 
LOC101858534	Carbohydrate transport and metabolism 
LOC101858755	Replication, recombination and repair 
LOC101860215	NA
LOC101860937	Posttranslational modification, protein turnover, chaperones 
LOC101862314	NA
LOC101845813	NA
LOC101847544	Posttranslational modification, protein turnover, chaperones 
LOC101848011	NA
LOC101848397	NA
LOC101848791	NA
LOC101849016	Posttranslational modification, protein turnover, chaperones 
LOC101849423	Signal transduction mechanisms 
LOC101849423	Defense mechanisms 
LOC101851237	
LOC101852373	
LOC101854130	RNA processing and modification 
LOC101857614	Intracellular trafficking, secretion, and vesicular transport 
LOC101857846	NA
LOC101858078	Energy production and conversion 
LOC101858078	Coenzyme transport and metabolism 
LOC101858318	NA
LOC101859060	Nuclear structure 
LOC101859060	Intracellular trafficking, secretion, and vesicular transport 
LOC101859610	NA
LOC101859829	NA
LOC101861630	Amino acid transport and metabolism 
LOC101861859	Posttranslational modification, protein turnover, chaperones 
LOC101862315	Posttranslational modification, protein turnover, chaperones 
LOC101862543	Cytoskeleton 
LOC101864111	NA
LOC101864350	Signal transduction mechanisms 
LOC101848254	Posttranslational modification, protein turnover, chaperones 
LOC101850451	NA
LOC101850687	Cell cycle control, cell division, chromosome partitioning 
LOC101850921	Cytoskeleton 
LOC101851690	NA
LOC101851908	NA
LOC101853749	Signal transduction mechanisms 
LOC101853987	Signal transduction mechanisms 
LOC101854375	RNA processing and modification 
LOC101854767	Transcription 
LOC101854991	Carbohydrate transport and metabolism 
LOC101855458	RNA processing and modification 
LOC101855689	Cell wall/membrane/envelope biogenesis 
LOC101856144	Cell wall/membrane/envelope biogenesis 
LOC101856623	Signal transduction mechanisms 
LOC101857991	NA
LOC101859214	Signal transduction mechanisms 
LOC101861408	Replication, recombination and repair 
LOC101861631	Nucleotide transport and metabolism 
LOC101862084	NA
LOC101862544	NA
LOC101863557	NA
LOC101845055	Signal transduction mechanisms 
LOC101845737	Signal transduction mechanisms 
LOC101846393	NA
LOC101847302	NA
LOC101848482	Translation, ribosomal structure and biogenesis 
LOC101849980	Chromatin structure and dynamics 
LOC101850219	Posttranslational modification, protein turnover, chaperones 
LOC101851162	Posttranslational modification, protein turnover, chaperones 
LOC101851380	Posttranslational modification, protein turnover, chaperones 
LOC101851842	Transcription 
LOC101852064	NA
LOC101852446	Lipid transport and metabolism 
LOC101854460	NA
LOC101854684	NA
LOC101855613	Coenzyme transport and metabolism 
LOC101855840	Carbohydrate transport and metabolism 
LOC101858148	Lipid transport and metabolism 
LOC101858537	Lipid transport and metabolism 
LOC101858757	NA
LOC101858984	NA
LOC101860464	NA
LOC101861090	Posttranslational modification, protein turnover, chaperones 
LOC101861333	RNA processing and modification 
LOC101861923	NA
LOC101862155	Extracellular structures 
LOC101862846	NA
LOC101863070	NA
LOC101863314	NA
LOC101864270	Transcription 
LOC101845142	Transcription 
LOC101845373	Extracellular structures 
LOC101845817	NA
LOC101846178	Cell cycle control, cell division, chromosome partitioning 
LOC101846178	Replication, recombination and repair 
LOC101846178	Chromatin structure and dynamics 
LOC101846178	Signal transduction mechanisms 
LOC101846178	Intracellular trafficking, secretion, and vesicular transport 
LOC101850220	Cell wall/membrane/envelope biogenesis 
LOC101850690	NA
LOC101850924	NA
LOC101852220	NA
LOC101852447	NA
LOC101852814	Lipid transport and metabolism 
LOC101854611	NA
LOC101854839	Signal transduction mechanisms 
LOC101854839	Amino acid transport and metabolism 
LOC101856308	NA
LOC101857297	Signal transduction mechanisms 
LOC101857530	NA
LOC101859142	Posttranslational modification, protein turnover, chaperones 
LOC101860066	RNA processing and modification 
LOC101860544	NA
LOC101861924	Inorganic ion transport and metabolism 
LOC101861924	Signal transduction mechanisms 
LOC101864271	Transcription 
LOC101845663	RNA processing and modification 
LOC101846047	RNA processing and modification 
LOC101847393	Intracellular trafficking, secretion, and vesicular transport 
LOC101850128	Translation, ribosomal structure and biogenesis 
LOC101850381	NA
LOC101851093	Secondary metabolites biosynthesis, transport and catabolism 
LOC101851461	Lipid transport and metabolism 
LOC101851691	Posttranslational modification, protein turnover, chaperones 
LOC101852066	
LOC101852524	Posttranslational modification, protein turnover, chaperones 
LOC101852895	Transcription 
LOC101853277	Lipid transport and metabolism 
LOC101854992	Lipid transport and metabolism 
LOC101856310	Posttranslational modification, protein turnover, chaperones 
LOC101857616	NA
LOC101857992	
LOC101858377	NA
LOC101859681	NA
LOC101860620	Signal transduction mechanisms 
LOC101861092	Cell wall/membrane/envelope biogenesis 
LOC101862918	Signal transduction mechanisms 
LOC101864352	Lipid transport and metabolism 
LOC101864352	Signal transduction mechanisms 
LOC101864578	NA
LOC101845971	Cell cycle control, cell division, chromosome partitioning 
LOC101846396	Cell wall/membrane/envelope biogenesis 
LOC101847007	Signal transduction mechanisms 
LOC101847236	Lipid transport and metabolism 
LOC101848161	NA
LOC101849340	Posttranslational modification, protein turnover, chaperones 
LOC101849340	Energy production and conversion 
LOC101849581	Nucleotide transport and metabolism 
LOC101850862	Amino acid transport and metabolism 
LOC101851693	Defense mechanisms 
LOC101851693	Signal transduction mechanisms 
LOC101852068	Defense mechanisms 
LOC101852068	Signal transduction mechanisms 
LOC101853209	NA
LOC101853426	
LOC101853831	Cell wall/membrane/envelope biogenesis 
LOC101853831	Carbohydrate transport and metabolism 
LOC101854221	Nuclear structure 
LOC101854221	Intracellular trafficking, secretion, and vesicular transport 
LOC101854612	Transcription 
LOC101855392	Translation, ribosomal structure and biogenesis 
LOC101857460	Carbohydrate transport and metabolism 
LOC101859216	Transcription 
LOC101859456	Posttranslational modification, protein turnover, chaperones 
LOC101861784	NA
LOC101862235	Translation, ribosomal structure and biogenesis 
LOC101863399	NA
LOC101863635	NA
LOC101863863	NA
LOC101864580	NA
LOC101845740	Secondary metabolites biosynthesis, transport and catabolism 
LOC101848088	Lipid transport and metabolism 
LOC101849175	NA
LOC101850383	NA
LOC101854133	Signal transduction mechanisms 
LOC101854378	NA
LOC101855072	NA
LOC101855539	Posttranslational modification, protein turnover, chaperones 
LOC101855993	NA
LOC101856485	Secondary metabolites biosynthesis, transport and catabolism 
LOC101856947	NA
LOC101857461	Posttranslational modification, protein turnover, chaperones 
LOC101858230	Transcription 
LOC101860622	NA
LOC101861338	Signal transduction mechanisms 
LOC101861705	Intracellular trafficking, secretion, and vesicular transport 
LOC101861705	Cell cycle control, cell division, chromosome partitioning 
LOC101861705	Cytoskeleton 
LOC101862390	Signal transduction mechanisms 
LOC101863400	NA
LOC101863791	NA
LOC101864274	Transcription 
LOC101864498	NA
LOC101846549	NA
LOC101847465	NA
LOC101847698	Intracellular trafficking, secretion, and vesicular transport 
LOC101848400	Carbohydrate transport and metabolism 
LOC101848630	Cytoskeleton 
LOC101849582	Inorganic ion transport and metabolism 
LOC101849983	Posttranslational modification, protein turnover, chaperones 
LOC101850384	Lipid transport and metabolism 
LOC101850926	Coenzyme transport and metabolism 
LOC101854465	Transcription 
LOC101854918	NA
LOC101857164	NA
LOC101857759	Intracellular trafficking, secretion, and vesicular transport 
LOC101857759	Lipid transport and metabolism 
LOC101857994	Signal transduction mechanisms 
LOC101859534	Translation, ribosomal structure and biogenesis 
LOC101859751	Lipid transport and metabolism 
LOC101859989	NA
LOC101860220	Translation, ribosomal structure and biogenesis 
LOC101860624	Posttranslational modification, protein turnover, chaperones 
LOC101861173	NA
LOC101861632	Intracellular trafficking, secretion, and vesicular transport 
LOC101862547	Cytoskeleton 
LOC101864581	Lipid transport and metabolism 
LOC101845376	Defense mechanisms 
LOC101845742	NA
LOC101846181	NA
LOC101846623	Transcription 
LOC101848714	Carbohydrate transport and metabolism 
LOC101849814	Cell wall/membrane/envelope biogenesis 
LOC101849814	Carbohydrate transport and metabolism 
LOC101850528	NA
LOC101850770	Signal transduction mechanisms 
LOC101851463	Energy production and conversion 
LOC101854616	NA
LOC101855691	NA
LOC101856072	Transcription 
LOC101856487	NA
LOC101857299	NA
LOC101858151	Signal transduction mechanisms 
LOC101859066	Transcription 
LOC101860143	Replication, recombination and repair 
LOC101860625	RNA processing and modification 
LOC101862765	Signal transduction mechanisms 
LOC101863318	Transcription 
LOC101863560	NA
LOC101864276	Replication, recombination and repair 
LOC101845665	NA
LOC101845896	NA
LOC101846109	NA
LOC101847009	Transcription 
LOC101847549	Signal transduction mechanisms 
LOC101848164	Inorganic ion transport and metabolism 
LOC101849816	Cell cycle control, cell division, chromosome partitioning 
